Date Time (GMT+2);NPS Latvia;NPS Lithuania;NPS Finland;NPS Estonia
01.01.2021 00:00;24.07;24.07;24.07;24.07
01.01.2021 01:00;24.95;24.95;24.95;24.95
01.01.2021 02:00;24.35;24.35;24.35;24.35
01.01.2021 03:00;23.98;23.98;23.98;23.98
01.01.2021 04:00;23.72;23.72;23.72;23.72
01.01.2021 05:00;23.73;23.73;23.73;23.73
01.01.2021 06:00;24.06;24.06;24.06;24.06
01.01.2021 07:00;24.44;24.44;24.44;24.44
01.01.2021 08:00;24.93;24.93;24.93;24.93
01.01.2021 09:00;24.9;24.9;24.9;24.9
01.01.2021 10:00;25.07;25.07;25.07;25.07
01.01.2021 11:00;30.02;30.02;25.63;30.02
01.01.2021 12:00;37.14;37.14;25.92;37.14
01.01.2021 13:00;39.05;39.05;26.13;39.05
01.01.2021 14:00;40.59;40.59;26.57;40.59
01.01.2021 15:00;40.79;40.79;27.3;40.79
01.01.2021 16:00;45.47;45.47;28.61;45.47
01.01.2021 17:00;51.72;51.72;30.25;51.72
01.01.2021 18:00;55.39;55.39;30.19;55.39
01.01.2021 19:00;53.01;53.01;28.82;53.01
01.01.2021 20:00;55.74;55.74;28.25;55.74
01.01.2021 21:00;54.94;54.94;27.32;54.94
01.01.2021 22:00;50.82;50.82;28.25;50.82
01.01.2021 23:00;45.22;45.22;27.01;45.22
02.01.2021 00:00;25.64;25.64;25.64;25.64
02.01.2021 01:00;25.59;25.59;25.59;25.59
02.01.2021 02:00;24.91;24.91;24.91;24.91
02.01.2021 03:00;24.74;24.74;24.74;24.74
02.01.2021 04:00;24.66;24.66;24.66;24.66
02.01.2021 05:00;24.72;24.72;24.72;24.72
02.01.2021 06:00;24.92;24.92;24.92;24.92
02.01.2021 07:00;30.05;30.05;25.62;30.05
02.01.2021 08:00;26.19;26.19;26.19;26.19
02.01.2021 09:00;43.3;43.3;28.02;43.3
02.01.2021 10:00;47.85;47.85;27.65;47.85
02.01.2021 11:00;50.75;50.75;28.83;50.75
02.01.2021 12:00;50.9;50.9;29.76;50.9
02.01.2021 13:00;53.75;53.75;28.62;53.75
02.01.2021 14:00;50.75;50.75;28.72;50.75
02.01.2021 15:00;49.48;49.48;36.73;49.48
02.01.2021 16:00;52.16;52.16;46.05;52.16
02.01.2021 17:00;58.88;58.88;58.88;58.88
02.01.2021 18:00;60.51;60.51;60.51;60.51
02.01.2021 19:00;61.56;61.56;59.84;61.56
02.01.2021 20:00;56.17;56.17;40.15;56.17
02.01.2021 21:00;55.01;55.01;27.38;55.01
02.01.2021 22:00;52.6;52.6;31.15;52.6
02.01.2021 23:00;47.13;47.13;27.91;47.13
03.01.2021 00:00;39.56;39.56;25.94;39.56
03.01.2021 01:00;25.27;25.27;25.27;25.27
03.01.2021 02:00;24.59;24.59;24.59;24.59
03.01.2021 03:00;23.86;23.86;23.86;23.86
03.01.2021 04:00;23.57;23.57;23.57;23.57
03.01.2021 05:00;23.49;23.49;23.49;23.49
03.01.2021 06:00;23.85;23.85;23.85;23.85
03.01.2021 07:00;24.05;24.05;24.05;24.05
03.01.2021 08:00;24.8;24.8;24.8;24.8
03.01.2021 09:00;24.97;24.97;24.97;24.97
03.01.2021 10:00;25.65;25.65;25.65;25.65
03.01.2021 11:00;36.64;36.64;26;36.64
03.01.2021 12:00;36.73;36.73;26.07;36.73
03.01.2021 13:00;36.83;36.83;25.87;36.83
03.01.2021 14:00;36.31;36.31;25.83;36.31
03.01.2021 15:00;35.55;35.55;26.02;35.55
03.01.2021 16:00;36.76;36.76;26.5;36.76
03.01.2021 17:00;43.33;43.33;28.05;43.33
03.01.2021 18:00;44.45;44.45;28.53;44.45
03.01.2021 19:00;43.35;43.35;28.17;43.35
03.01.2021 20:00;42.45;42.45;27.92;42.45
03.01.2021 21:00;36.95;36.95;27.56;36.95
03.01.2021 22:00;34.79;34.79;28.12;34.79
03.01.2021 23:00;26.18;26.18;26.18;26.18
04.01.2021 00:00;24.92;24.92;24.92;24.92
04.01.2021 01:00;24.66;24.66;24.66;24.66
04.01.2021 02:00;24.05;24.05;24.05;24.05
04.01.2021 03:00;23.88;23.88;23.88;23.88
04.01.2021 04:00;24.03;24.03;24.03;24.03
04.01.2021 05:00;24.58;24.58;24.58;24.58
04.01.2021 06:00;25.84;25.84;25.84;25.84
04.01.2021 07:00;28.21;28.21;28.21;28.21
04.01.2021 08:00;49.76;49.76;49.76;49.76
04.01.2021 09:00;54.42;54.42;54.42;54.42
04.01.2021 10:00;55.69;55.69;50.72;55.69
04.01.2021 11:00;55.4;55.8;55.4;55.4
04.01.2021 12:00;56.53;58.27;56.53;56.53
04.01.2021 13:00;52.07;57.52;52.07;52.07
04.01.2021 14:00;56.53;56.53;56.53;56.53
04.01.2021 15:00;57.99;57.99;57.99;57.99
04.01.2021 16:00;58.03;58.03;58.03;58.03
04.01.2021 17:00;60.5;60.5;60.5;60.5
04.01.2021 18:00;65.22;65.22;65.22;65.22
04.01.2021 19:00;60.05;60.05;60.05;60.05
04.01.2021 20:00;53.73;53.73;53.73;53.73
04.01.2021 21:00;37.68;37.68;37.68;37.68
04.01.2021 22:00;38.49;38.49;38.49;38.49
04.01.2021 23:00;30.95;30.95;30.95;30.95
05.01.2021 00:00;27.35;27.35;27.35;27.35
