Date Time (GMT+2);NPS Latvia;NPS Lithuania;NPS Finland;NPS Estonia
01.01.2022 00:00;57.98;57.98;29.76;57.98
01.01.2022 01:00;50.05;50.05;46.6;50.05
01.01.2022 02:00;41.33;41.33;41.33;41.33
01.01.2022 03:00;42.18;42.18;42.18;42.18
01.01.2022 04:00;44.37;44.37;44.37;44.37
01.01.2022 05:00;37.67;37.67;37.67;37.67
01.01.2022 06:00;39.7;39.7;39.7;39.7
01.01.2022 07:00;40.59;40.59;40.59;40.59
01.01.2022 08:00;43.26;43.26;43.26;43.26
01.01.2022 09:00;49.66;49.66;49.66;49.66
01.01.2022 10:00;70.05;70.05;65.48;70.05
01.01.2022 11:00;76.79;76.79;76.53;76.79
01.01.2022 12:00;84.1;84.1;83.63;84.1
01.01.2022 13:00;94.74;94.74;94.74;94.74
01.01.2022 14:00;96.8;96.8;94.02;96.8
01.01.2022 15:00;97.17;97.17;97.17;97.17
01.01.2022 16:00;101.27;101.27;101.27;101.27
01.01.2022 17:00;126.6;126.6;126.6;126.6
01.01.2022 18:00;149.97;149.97;149.97;149.97
01.01.2022 19:00;146.33;146.33;146.33;146.33
01.01.2022 20:00;140.28;140.28;140.28;140.28
01.01.2022 21:00;121.88;121.88;121.88;121.88
01.01.2022 22:00;102.61;102.61;102.61;102.61
01.01.2022 23:00;97.46;97.46;97.46;97.46
02.01.2022 00:00;85.16;85.16;85.16;85.16
02.01.2022 01:00;57.08;57.08;57.08;57.08
02.01.2022 02:00;55.09;55.09;55.09;55.09
02.01.2022 03:00;52.82;52.82;52.82;52.82
02.01.2022 04:00;34.94;34.94;34.94;34.94
02.01.2022 05:00;29.56;29.56;29.56;29.56
02.01.2022 06:00;53.01;53.01;53.01;53.01
02.01.2022 07:00;34.52;34.52;34.52;34.52
02.01.2022 08:00;41.8;41.8;41.8;41.8
02.01.2022 09:00;48.95;48.95;48.95;48.95
02.01.2022 10:00;60.01;60.01;60.01;60.01
02.01.2022 11:00;70.09;70.09;70.09;70.09
02.01.2022 12:00;66.26;66.26;66.26;66.26
02.01.2022 13:00;64.54;64.54;64.54;64.54
02.01.2022 14:00;46.96;46.96;46.96;46.96
02.01.2022 15:00;65.19;65.19;65.19;65.19
02.01.2022 16:00;81.09;81.09;74.99;81.09
02.01.2022 17:00;88.46;88.46;88.15;88.46
02.01.2022 18:00;95.4;95.4;95.4;95.4
02.01.2022 19:00;86.71;86.71;86.71;86.71
02.01.2022 20:00;71.72;71.72;71.27;71.72
02.01.2022 21:00;56.73;56.73;54.12;56.73
02.01.2022 22:00;46.16;46.16;46.16;46.16
02.01.2022 23:00;46.29;46.29;46.29;46.29
03.01.2022 00:00;32.93;32.93;32.93;32.93
03.01.2022 01:00;20.89;20.89;20.89;20.89
03.01.2022 02:00;19.92;19.92;19.92;19.92
03.01.2022 03:00;19.87;19.87;19.87;19.87
03.01.2022 04:00;19.82;19.82;19.82;19.82
03.01.2022 05:00;20.26;20.26;20.26;20.26
03.01.2022 06:00;29.35;29.35;29.35;29.35
03.01.2022 07:00;80;80;80;80
03.01.2022 08:00;106.87;106.87;106.87;106.87
03.01.2022 09:00;131.47;131.47;122.93;131.47
03.01.2022 10:00;135.53;135.53;110.17;135.53
03.01.2022 11:00;107.46;107.46;101.99;107.46
03.01.2022 12:00;110.08;110.08;102.38;110.08
03.01.2022 13:00;119.78;119.78;106.06;119.78
03.01.2022 14:00;117;117;110.07;117
03.01.2022 15:00;111.57;111.57;101.97;111.57
03.01.2022 16:00;111.39;111.39;98.05;111.39
03.01.2022 17:00;124.51;124.51;120.55;124.51
03.01.2022 18:00;148.49;148.49;139.57;148.49
03.01.2022 19:00;138;138;134.69;138
03.01.2022 20:00;117.64;117.64;114.82;117.64
